Source,Target,Weight,Type
Av_EV_mortero,Av_EV_quijote,7,undirected
Av_EV_mortero,Cast_EV_barbador,2,undirected
Av_EV_mortero,Cerv_EP_guarda,28,undirected
Av_EV_mortero,Cerv_EP_vizcaino,10,undirected
Av_EV_mortero,Cerv_EV_rufian,9,undirected
Av_EV_mortero,Dub_EV_romances_R,26,undirected
Av_EV_mortero,Quin_EV_ventero,14,undirected
Av_EV_mortero,Salas_EV_caprichoso,8,undirected
Av_EV_quijote,Av_EV_mortero,7,undirected
Av_EV_quijote,Cast_EV_comisario,3,undirected
Av_EV_quijote,Cerv_EP_guarda,24,undirected
Av_EV_quijote,Cerv_EP_retablo,31,undirected
Av_EV_quijote,Quev_EP_vieja,1,undirected
Av_EV_quijote,Salas_EP_buscaoficios,11,undirected
Av_EV_quijote,Salas_EV_caprichoso,10,undirected
Barr_EP_triunfo,Cerv_EP_cueva,3,undirected
Barr_EP_triunfo,Cerv_EP_juez,14,undirected
Barr_EP_triunfo,Cerv_EP_viejo,9,undirected
Barr_EP_triunfo,Cerv_EP_vizcaino,30,undirected
Barr_EP_triunfo,Cerv_EV_eleccion,1,undirected
Barr_EP_triunfo,Quev_EP_vieja,3,undirected
Belm_EV_rana,Cast_EV_barbador,2,undirected
Belm_EV_rana,Cerv_EP_retablo,6,undirected
Belm_EV_rana,Cerv_EV_eleccion,15,undirected
Belm_EV_rana,Quev_EV_marido,20,undirected
Belm_EV_rana,Quev_EV_niño,4,undirected
Belm_EV_rana,Quin_EV_ventero,13,undirected
Belm_EV_sierra,Cerv_EV_eleccion,6,undirected
Belm_EV_sierra,Quev_EP_vieja,4,undirected
Belm_EV_sierra,Quin_EV_sacristanes,2,undirected
Belm_EV_sierra,Quin_EV_ventero,11,undirected
Belm_EV_sierra,Salas_EP_buscaoficios,5,undirected
Belm_EV_sierra,Salas_EP_mirones,19,undirected
Belm_EV_sierra,Salas_EV_caprichoso,8,undirected
Belm_EV_sierra,Vel_EV_burla,5,undirected
Cast_EV_barbador,Av_EV_mortero,2,undirected
Cast_EV_barbador,Belm_EV_rana,2,undirected
Cast_EV_barbador,Cast_EV_comisario,11,undirected
Cast_EV_barbador,Cerv_EV_rufian,26,undirected
Cast_EV_barbador,Hurt_EV_miser1,20,undirected
Cast_EV_barbador,Quin_EV_barbero,1,undirected
Cast_EV_barbador,Quin_EV_sacristanes,1,undirected
Cast_EV_barbador,Salas_EV_caprichoso,3,undirected
Cast_EV_barbador,Vel_EV_burla,16,undirected
Cast_EV_comisario,Av_EV_quijote,3,undirected
Cast_EV_comisario,Cast_EV_barbador,11,undirected
